"poll_id","poll_date","institute","sample_size","days_to_election","party","source_col","short_label","display_name","support","color","bloc"
37,2026-01-07,"Indikator",2753,249,"m","M","M","Moderates",18.4,"#1b49a0","tido"
37,2026-01-07,"Indikator",2753,249,"l","L","L","Liberals",2.1,"#006ab3","tido"
37,2026-01-07,"Indikator",2753,249,"c","C","C","Centre Party",3.8,"#009933","opposition"
37,2026-01-07,"Indikator",2753,249,"kd","KD","KD","Christian Democrats",3.9,"#005baa","tido"
37,2026-01-07,"Indikator",2753,249,"s","S","S","Social Democrats",35.2,"#e11931","opposition"
37,2026-01-07,"Indikator",2753,249,"v","V","V","Left Party",7.1,"#da291c","opposition"
37,2026-01-07,"Indikator",2753,249,"mp","MP","MP","Green Party",6.4,"#83cf39","opposition"
37,2026-01-07,"Indikator",2753,249,"sd","SD","SD","Sweden Democrats",21.4,"#ffd500","tido"
37,2026-01-07,"Indikator",2753,249,"oth","oth","Other","Other parties",1.7,"#8a8f98","other"
36,2026-01-14,"Sifo",3238,242,"m","M","M","Moderates",17.5,"#1b49a0","tido"
36,2026-01-14,"Sifo",3238,242,"l","L","L","Liberals",1.8,"#006ab3","tido"
36,2026-01-14,"Sifo",3238,242,"c","C","C","Centre Party",5.5,"#009933","opposition"
36,2026-01-14,"Sifo",3238,242,"kd","KD","KD","Christian Democrats",4.3,"#005baa","tido"
36,2026-01-14,"Sifo",3238,242,"s","S","S","Social Democrats",33.8,"#e11931","opposition"
36,2026-01-14,"Sifo",3238,242,"v","V","V","Left Party",7.2,"#da291c","opposition"
36,2026-01-14,"Sifo",3238,242,"mp","MP","MP","Green Party",6.6,"#83cf39","opposition"
36,2026-01-14,"Sifo",3238,242,"sd","SD","SD","Sweden Democrats",21.3,"#ffd500","tido"
36,2026-01-14,"Sifo",3238,242,"oth","oth","Other","Other parties",2,"#8a8f98","other"
35,2026-01-21,"Novus",2599,235,"m","M","M","Moderates",17.5,"#1b49a0","tido"
35,2026-01-21,"Novus",2599,235,"l","L","L","Liberals",2.4,"#006ab3","tido"
35,2026-01-21,"Novus",2599,235,"c","C","C","Centre Party",4.8,"#009933","opposition"
35,2026-01-21,"Novus",2599,235,"kd","KD","KD","Christian Democrats",4.3,"#005baa","tido"
35,2026-01-21,"Novus",2599,235,"s","S","S","Social Democrats",34.2,"#e11931","opposition"
35,2026-01-21,"Novus",2599,235,"v","V","V","Left Party",6.9,"#da291c","opposition"
35,2026-01-21,"Novus",2599,235,"mp","MP","MP","Green Party",5.5,"#83cf39","opposition"
35,2026-01-21,"Novus",2599,235,"sd","SD","SD","Sweden Democrats",22.5,"#ffd500","tido"
35,2026-01-21,"Novus",2599,235,"oth","oth","Other","Other parties",1.9,"#8a8f98","other"
34,2026-01-28,"Indikator",1828,228,"m","M","M","Moderates",18.9,"#1b49a0","tido"
34,2026-01-28,"Indikator",1828,228,"l","L","L","Liberals",1.4,"#006ab3","tido"
34,2026-01-28,"Indikator",1828,228,"c","C","C","Centre Party",5.3,"#009933","opposition"
34,2026-01-28,"Indikator",1828,228,"kd","KD","KD","Christian Democrats",3.9,"#005baa","tido"
34,2026-01-28,"Indikator",1828,228,"s","S","S","Social Democrats",35.4,"#e11931","opposition"
34,2026-01-28,"Indikator",1828,228,"v","V","V","Left Party",7.5,"#da291c","opposition"
34,2026-01-28,"Indikator",1828,228,"mp","MP","MP","Green Party",4.7,"#83cf39","opposition"
34,2026-01-28,"Indikator",1828,228,"sd","SD","SD","Sweden Democrats",21.4,"#ffd500","tido"
34,2026-01-28,"Indikator",1828,228,"oth","oth","Other","Other parties",1.5,"#8a8f98","other"
33,2026-01-29,"Demoskop",2134,227,"m","M","M","Moderates",17.8,"#1b49a0","tido"
33,2026-01-29,"Demoskop",2134,227,"l","L","L","Liberals",2.6,"#006ab3","tido"
33,2026-01-29,"Demoskop",2134,227,"c","C","C","Centre Party",4.5,"#009933","opposition"
33,2026-01-29,"Demoskop",2134,227,"kd","KD","KD","Christian Democrats",5.4,"#005baa","tido"
33,2026-01-29,"Demoskop",2134,227,"s","S","S","Social Democrats",33.1,"#e11931","opposition"
33,2026-01-29,"Demoskop",2134,227,"v","V","V","Left Party",7.4,"#da291c","opposition"
33,2026-01-29,"Demoskop",2134,227,"mp","MP","MP","Green Party",6.1,"#83cf39","opposition"
33,2026-01-29,"Demoskop",2134,227,"sd","SD","SD","Sweden Democrats",20.8,"#ffd500","tido"
33,2026-01-29,"Demoskop",2134,227,"oth","oth","Other","Other parties",2.3,"#8a8f98","other"
31,2026-01-31,"Ipsos",1868,225,"m","M","M","Moderates",18,"#1b49a0","tido"
32,2026-01-31,"Sentio",757,225,"m","M","M","Moderates",15.6,"#1b49a0","tido"
31,2026-01-31,"Ipsos",1868,225,"l","L","L","Liberals",2,"#006ab3","tido"
32,2026-01-31,"Sentio",757,225,"l","L","L","Liberals",1.7,"#006ab3","tido"
31,2026-01-31,"Ipsos",1868,225,"c","C","C","Centre Party",5,"#009933","opposition"
32,2026-01-31,"Sentio",757,225,"c","C","C","Centre Party",4.1,"#009933","opposition"
31,2026-01-31,"Ipsos",1868,225,"kd","KD","KD","Christian Democrats",4,"#005baa","tido"
32,2026-01-31,"Sentio",757,225,"kd","KD","KD","Christian Democrats",4.7,"#005baa","tido"
31,2026-01-31,"Ipsos",1868,225,"s","S","S","Social Democrats",34,"#e11931","opposition"
32,2026-01-31,"Sentio",757,225,"s","S","S","Social Democrats",33.1,"#e11931","opposition"
31,2026-01-31,"Ipsos",1868,225,"v","V","V","Left Party",8,"#da291c","opposition"
32,2026-01-31,"Sentio",757,225,"v","V","V","Left Party",7.7,"#da291c","opposition"
31,2026-01-31,"Ipsos",1868,225,"mp","MP","MP","Green Party",6,"#83cf39","opposition"
32,2026-01-31,"Sentio",757,225,"mp","MP","MP","Green Party",5.4,"#83cf39","opposition"
31,2026-01-31,"Ipsos",1868,225,"sd","SD","SD","Sweden Democrats",21,"#ffd500","tido"
32,2026-01-31,"Sentio",757,225,"sd","SD","SD","Sweden Democrats",25.5,"#ffd500","tido"
31,2026-01-31,"Ipsos",1868,225,"oth","oth","Other","Other parties",2,"#8a8f98","other"
32,2026-01-31,"Sentio",757,225,"oth","oth","Other","Other parties",2.2,"#8a8f98","other"
30,2026-02-12,"Sifo",3000,213,"m","M","M","Moderates",18.2,"#1b49a0","tido"
30,2026-02-12,"Sifo",3000,213,"l","L","L","Liberals",2,"#006ab3","tido"
30,2026-02-12,"Sifo",3000,213,"c","C","C","Centre Party",4.6,"#009933","opposition"
30,2026-02-12,"Sifo",3000,213,"kd","KD","KD","Christian Democrats",5.6,"#005baa","tido"
30,2026-02-12,"Sifo",3000,213,"s","S","S","Social Democrats",34.3,"#e11931","opposition"
30,2026-02-12,"Sifo",3000,213,"v","V","V","Left Party",7.4,"#da291c","opposition"
30,2026-02-12,"Sifo",3000,213,"mp","MP","MP","Green Party",6,"#83cf39","opposition"
30,2026-02-12,"Sifo",3000,213,"sd","SD","SD","Sweden Democrats",20.1,"#ffd500","tido"
